minority_frac,trial,strategy,ops_retained,info_retention,tauhat
0.5,1,leader,0.4166666666666667,0.9882246376811594,0.01177536231884058
0.5,1,lww,1.0,0.9334239130434783,0.06657608695652174
0.5,1,ranked_pairs,1.0,0.9334239130434783,0.06657608695652174
0.5,2,leader,0.4166666666666667,0.9433876811594203,0.05661231884057971
0.5,2,lww,1.0,0.9157608695652174,0.08423913043478261
0.5,2,ranked_pairs,1.0,0.9157608695652174,0.08423913043478261
0.5,3,leader,0.5416666666666666,0.9615036231884058,0.0384963768115942
0.5,3,lww,1.0,0.9207427536231884,0.0792572463768116
0.5,3,ranked_pairs,1.0,0.9207427536231884,0.0792572463768116
0.5,4,leader,0.4166666666666667,0.9936594202898551,0.006340579710144928
0.5,4,lww,1.0,0.9202898550724637,0.07971014492753623
0.5,4,ranked_pairs,1.0,0.9202898550724637,0.07971014492753623
0.5,5,leader,0.5416666666666666,0.9836956521739131,0.016304347826086956
0.5,5,lww,1.0,0.9184782608695652,0.08152173913043478
0.5,5,ranked_pairs,1.0,0.9184782608695652,0.08152173913043478
0.5,6,leader,0.5,0.9859601449275363,0.014039855072463768
0.5,6,lww,1.0,0.9320652173913043,0.06793478260869565
0.5,6,ranked_pairs,1.0,0.9320652173913043,0.06793478260869565
0.5,7,leader,0.4583333333333333,0.9823369565217391,0.017663043478260868
0.5,7,lww,1.0,0.9139492753623188,0.08605072463768115
0.5,7,ranked_pairs,1.0,0.9139492753623188,0.08605072463768115
0.5,8,leader,0.625,0.9030797101449275,0.09692028985507246
0.5,8,lww,1.0,0.9107789855072463,0.08922101449275362
0.5,8,ranked_pairs,1.0,0.9107789855072463,0.08922101449275362
0.5,9,leader,0.5416666666666666,0.9483695652173914,0.051630434782608696
0.5,9,lww,1.0,0.926177536231884,0.07382246376811594
0.5,9,ranked_pairs,1.0,0.926177536231884,0.07382246376811594
0.5,10,leader,0.5416666666666666,0.9836956521739131,0.016304347826086956
0.5,10,lww,1.0,0.9343297101449275,0.06567028985507246
0.5,10,ranked_pairs,1.0,0.9343297101449275,0.06567028985507246
0.5,11,leader,0.5,0.9356884057971014,0.06431159420289854
0.5,11,lww,1.0,0.9171195652173914,0.08288043478260869
0.5,11,ranked_pairs,1.0,0.9171195652173914,0.08288043478260869
0.5,12,leader,0.5416666666666666,0.9682971014492754,0.03170289855072464
0.5,12,lww,1.0,0.9180253623188406,0.08197463768115942
0.5,12,ranked_pairs,1.0,0.9180253623188406,0.08197463768115942
0.5,13,leader,0.625,0.9451992753623188,0.05480072463768116
0.5,13,lww,1.0,0.926177536231884,0.07382246376811594
0.5,13,ranked_pairs,1.0,0.926177536231884,0.07382246376811594
0.5,14,leader,0.375,0.9832427536231884,0.016757246376811596
0.5,14,lww,1.0,0.9257246376811594,0.07427536231884058
0.5,14,ranked_pairs,1.0,0.9257246376811594,0.07427536231884058
