conflict,trial,strategy,M,causal_density,tau_causal,tau_contested,tauhat,info_retention
low,24,leader,24,0.358695652173913,0,66,0.029891304347826088,0.970108695652174
low,24,ranked_pairs,24,0.358695652173913,0,112,0.050724637681159424,0.9492753623188406
low,25,lww,24,0.3442028985507246,0,101,0.04574275362318841,0.9542572463768116
low,25,vc,24,0.3442028985507246,0,707,0.32019927536231885,0.6798007246376812
low,25,crdt_pure,24,0.3442028985507246,0,101,0.04574275362318841,0.9542572463768116
low,25,crdt_lww,24,0.3442028985507246,0,101,0.04574275362318841,0.9542572463768116
low,25,leader,24,0.3442028985507246,0,134,0.06068840579710145,0.9393115942028986
low,25,ranked_pairs,24,0.3442028985507246,0,101,0.04574275362318841,0.9542572463768116
low,26,lww,24,0.3333333333333333,0,104,0.04710144927536232,0.9528985507246377
low,26,vc,24,0.3333333333333333,0,690,0.3125,0.6875
low,26,crdt_pure,24,0.3333333333333333,0,104,0.04710144927536232,0.9528985507246377
low,26,crdt_lww,24,0.3333333333333333,0,104,0.04710144927536232,0.9528985507246377
low,26,leader,24,0.3333333333333333,0,71,0.03215579710144927,0.9678442028985508
low,26,ranked_pairs,24,0.3333333333333333,0,104,0.04710144927536232,0.9528985507246377
low,27,lww,24,0.32608695652173914,0,104,0.04710144927536232,0.9528985507246377
low,27,vc,24,0.32608695652173914,0,442,0.20018115942028986,0.7998188405797102
low,27,crdt_pure,24,0.32608695652173914,0,104,0.04710144927536232,0.9528985507246377
low,27,crdt_lww,24,0.32608695652173914,0,104,0.04710144927536232,0.9528985507246377
low,27,leader,24,0.32608695652173914,0,180,0.08152173913043478,0.9184782608695652
low,27,ranked_pairs,24,0.32608695652173914,0,104,0.04710144927536232,0.9528985507246377
low,28,lww,24,0.4166666666666667,0,82,0.03713768115942029,0.9628623188405797
low,28,vc,24,0.4166666666666667,0,510,0.23097826086956522,0.7690217391304348
low,28,crdt_pure,24,0.4166666666666667,0,82,0.03713768115942029,0.9628623188405797
low,28,crdt_lww,24,0.4166666666666667,0,82,0.03713768115942029,0.9628623188405797
low,28,leader,24,0.4166666666666667,0,32,0.014492753623188406,0.9855072463768116
low,28,ranked_pairs,24,0.4166666666666667,0,82,0.03713768115942029,0.9628623188405797
low,29,lww,24,0.34782608695652173,0,85,0.0384963768115942,0.9615036231884058
low,29,vc,24,0.34782608695652173,0,439,0.19882246376811594,0.801177536231884
low,29,crdt_pure,24,0.34782608695652173,0,85,0.0384963768115942,0.9615036231884058
low,29,crdt_lww,24,0.34782608695652173,0,85,0.0384963768115942,0.9615036231884058
low,29,leader,24,0.34782608695652173,0,67,0.030344202898550724,0.9696557971014492
low,29,ranked_pairs,24,0.34782608695652173,0,85,0.0384963768115942,0.9615036231884058
high,0,lww,24,0.09420289855072464,0,186,0.08423913043478261,0.9157608695652174
high,0,vc,24,0.09420289855072464,0,830,0.3759057971014493,0.6240942028985508
high,0,crdt_pure,24,0.09420289855072464,0,186,0.08423913043478261,0.9157608695652174
high,0,crdt_lww,24,0.09420289855072464,0,186,0.08423913043478261,0.9157608695652174
high,0,leader,24,0.09420289855072464,0,77,0.034873188405797104,0.9651268115942029
high,0,ranked_pairs,24,0.09420289855072464,0,186,0.08423913043478261,0.9157608695652174
high,1,lww,24,0.11594202898550725,0,193,0.08740942028985507,0.9125905797101449
high,1,vc,24,0.11594202898550725,0,747,0.3383152173913043,0.6616847826086957
high,1,crdt_pure,24,0.11594202898550725,0,193,0.08740942028985507,0.9125905797101449
high,1,crdt_lww,24,0.11594202898550725,0,193,0.08740942028985507,0.9125905797101449
high,1,leader,24,0.11594202898550725,0,96,0.043478260869565216,0.9565217391304348
high,1,ranked_pairs,24,0.11594202898550725,0,193,0.08740942028985507,0.9125905797101449
high,2,lww,24,0.11956521739130435,0,194,0.08786231884057971,0.9121376811594203
high,2,vc,24,0.11956521739130435,0,774,0.35054347826086957,0.6494565217391304
high,2,crdt_pure,24,0.11956521739130435,0,194,0.08786231884057971,0.9121376811594203
high,2,crdt_lww,24,0.11956521739130435,0,194,0.08786231884057971,0.9121376811594203
high,2,leader,24,0.11956521739130435,0,120,0.05434782608695652,0.9456521739130435
high,2,ranked_pairs,24,0.11956521739130435,0,194,0.08786231884057971,0.9121376811594203
high,3,lww,24,0.10144927536231885,0,185,0.08378623188405797,0.916213768115942
high,3,vc,24,0.10144927536231885,0,945,0.4279891304347826,0.5720108695652174
high,3,crdt_pure,24,0.10144927536231885,0,185,0.08378623188405797,0.916213768115942
high,3,crdt_lww,24,0.10144927536231885,0,185,0.08378623188405797,0.916213768115942
high,3,leader,24,0.10144927536231885,0,75,0.033967391304347824,0.9660326086956522
high,3,ranked_pairs,24,0.10144927536231885,0,185,0.08378623188405797,0.916213768115942
high,4,lww,24,0.11594202898550725,0,141,0.06385869565217392,0.936141304347826
high,4,vc,24,0.11594202898550725,0,865,0.3917572463768116,0.6082427536231885
high,4,crdt_pure,24,0.11594202898550725,0,141,0.06385869565217392,0.936141304347826
high,4,crdt_lww,24,0.11594202898550725,0,141,0.06385869565217392,0.936141304347826
high,4,leader,24,0.11594202898550725,0,68,0.030797101449275364,0.9692028985507246
high,4,ranked_pairs,24,0.11594202898550725,0,141,0.06385869565217392,0.936141304347826
high,5,lww,24,0.08333333333333333,0,190,0.08605072463768115,0.9139492753623188
high,5,vc,24,0.08333333333333333,0,924,0.41847826086956524,0.5815217391304348
high,5,crdt_pure,24,0.08333333333333333,0,190,0.08605072463768115,0.9139492753623188
high,5,crdt_lww,24,0.08333333333333333,0,190,0.08605072463768115,0.9139492753623188
high,5,leader,24,0.08333333333333333,0,155,0.07019927536231885,0.9298007246376812
high,5,ranked_pairs,24,0.08333333333333333,0,190,0.08605072463768115,0.9139492753623188
