trial,strategy,M,ops_retained,auto_coverage,info_retention,tau_causal,tau_contested,semantic_validity,gini,time_ms
19,crdt_pure,24,1.0,0.75,0.927536231884058,0,160,0.6666666666666666,0.3125,0.08540000271750614
19,crdt_lww,24,1.0,1.0,0.927536231884058,0,160,0.6666666666666666,0.3125,0.05079999755253084
19,leader,24,0.7083333333333334,1.0,0.9664855072463768,0,74,0.625,0.5405405405405406,0.038300000596791506
19,ranked_pairs,24,1.0,1.0,0.927536231884058,0,160,0.6666666666666666,0.3125,3.428899999562418
20,lww,24,1.0,1.0,0.9080615942028986,0,203,0.8333333333333334,0.3368226600985222,0.05450000026030466
20,vc,24,1.0,0.9166666666666666,0.53125,0,1035,0.8333333333333334,0.06316425120772946,0.11040000026696362
20,crdt_pure,24,1.0,0.9166666666666666,0.9080615942028986,0,203,0.8333333333333334,0.3368226600985222,0.076299998909235
20,crdt_lww,24,1.0,1.0,0.9080615942028986,0,203,0.8333333333333334,0.3368226600985222,0.052299998060334474
20,leader,24,0.7083333333333334,1.0,0.8623188405797102,0,304,1.0,0.20559210526315788,0.03400000059627928
20,ranked_pairs,24,1.0,1.0,0.9080615942028986,0,203,0.8333333333333334,0.3368226600985222,3.4568000010040123
21,lww,24,1.0,1.0,0.9334239130434783,0,147,0.6666666666666666,0.30697278911564624,0.05289999899105169
21,vc,24,1.0,0.875,0.7151268115942029,0,629,0.8333333333333334,0.03994435612082671,0.15249999705702066
21,crdt_pure,24,1.0,0.875,0.9334239130434783,0,147,0.6666666666666666,0.30697278911564624,0.07270000060088933
21,crdt_lww,24,1.0,1.0,0.9334239130434783,0,147,0.6666666666666666,0.30697278911564624,0.05390000296756625
21,leader,24,0.5833333333333334,1.0,0.9542572463768116,0,101,0.6666666666666666,0.36014851485148514,0.036299999919719994
21,ranked_pairs,24,1.0,1.0,0.9334239130434783,0,147,0.6666666666666666,0.30697278911564624,3.566400002455339
22,lww,24,1.0,1.0,0.9125905797101449,0,193,0.8,0.34132124352331605,0.059699999837903306
22,vc,24,1.0,0.8333333333333334,0.629981884057971,0,817,0.6,0.04635862913096695,0.26389999766252004
22,crdt_pure,24,1.0,0.8333333333333334,0.9125905797101449,0,193,0.8,0.34132124352331605,0.06550000034621917
22,crdt_lww,24,1.0,1.0,0.9125905797101449,0,193,0.8,0.34132124352331605,0.05569999848376028
22,leader,24,0.625,1.0,0.9411231884057971,0,130,1.0,0.3903846153846154,0.03440000000409782
22,ranked_pairs,24,1.0,1.0,0.9125905797101449,0,193,0.8,0.34132124352331605,4.562800000712741
23,lww,24,1.0,1.0,0.917572463768116,0,182,0.8333333333333334,0.29120879120879123,0.05569999848376028
23,vc,24,1.0,0.7916666666666666,0.6376811594202898,0,800,1.0,0.090625,0.18570000247564167
23,crdt_pure,24,1.0,0.7916666666666666,0.917572463768116,0,182,0.8333333333333334,0.29120879120879123,0.08609999713371508
23,crdt_lww,24,1.0,1.0,0.917572463768116,0,182,0.8333333333333334,0.29120879120879123,0.09579999823472463
23,leader,24,0.5833333333333334,1.0,0.9615036231884058,0,85,0.75,0.3720588235294118,0.036699999327538535
23,ranked_pairs,24,1.0,1.0,0.917572463768116,0,182,0.8333333333333334,0.29120879120879123,3.7956999985908624
24,lww,24,1.0,1.0,0.9248188405797102,0,166,0.4,0.3885542168674699,0.0548999996681232
24,vc,24,1.0,0.8333333333333334,0.6304347826086957,0,816,0.4,0.023284313725490197,0.1472000003559515
