conflict,trial,strategy,tau_causal,tau_contested,info_retention,repair_swaps
high,4,rp_unconstrained,0,0.0,1.0,8.0
high,5,lww,0,1.0,0.9666666666666667,
high,5,vc,0,12.0,0.6,
high,5,crdt_pure,0,1.0,0.9666666666666667,
high,5,crdt_lww,0,1.0,0.9666666666666667,
high,5,leader,0,1.0,0.9666666666666667,
high,5,ranked_pairs,0,0.0,1.0,
high,5,rp_unconstrained,0,0.0,1.0,5.0
high,6,lww,0,0.0,1.0,
high,6,vc,0,17.0,0.5641025641025641,
high,6,crdt_pure,0,0.0,1.0,
high,6,crdt_lww,0,0.0,1.0,
high,6,leader,0,0.0,1.0,
high,6,ranked_pairs,0,0.0,1.0,
high,6,rp_unconstrained,0,0.0,1.0,1.0
high,7,lww,0,2.0,0.9375,
high,7,vc,0,14.0,0.5625,
high,7,crdt_pure,0,2.0,0.9375,
high,7,crdt_lww,0,2.0,0.9375,
high,7,leader,0,2.0,0.9375,
high,7,ranked_pairs,0,0.0,1.0,
high,7,rp_unconstrained,0,0.0,1.0,3.0
high,8,lww,0,0.0,1.0,
high,8,vc,0,5.0,0.8387096774193549,
high,8,crdt_pure,0,0.0,1.0,
high,8,crdt_lww,0,0.0,1.0,
high,8,leader,0,0.0,1.0,
high,8,ranked_pairs,0,0.0,1.0,
high,8,rp_unconstrained,0,0.0,1.0,2.0
high,9,lww,0,0.0,1.0,
high,9,vc,0,18.0,0.5,
high,9,crdt_pure,0,0.0,1.0,
high,9,crdt_lww,0,0.0,1.0,
high,9,leader,0,0.0,1.0,
high,9,ranked_pairs,0,0.0,1.0,
high,9,rp_unconstrained,0,0.0,1.0,5.0
high,10,lww,0,1.0,0.9722222222222222,
high,10,vc,0,16.0,0.5555555555555556,
high,10,crdt_pure,0,1.0,0.9722222222222222,
high,10,crdt_lww,0,1.0,0.9722222222222222,
high,10,leader,0,0.0,1.0,
high,10,ranked_pairs,0,0.0,1.0,
high,10,rp_unconstrained,0,0.0,1.0,5.0
high,11,lww,0,0.0,1.0,
high,11,vc,0,14.0,0.5757575757575757,
high,11,crdt_pure,0,0.0,1.0,
high,11,crdt_lww,0,0.0,1.0,
high,11,leader,0,0.0,1.0,
high,11,ranked_pairs,0,0.0,1.0,
high,11,rp_unconstrained,0,0.0,1.0,2.0
high,12,lww,0,0.0,1.0,
high,12,vc,0,14.0,0.5625,
high,12,crdt_pure,0,0.0,1.0,
high,12,crdt_lww,0,0.0,1.0,
high,12,leader,0,0.0,1.0,
high,12,ranked_pairs,0,0.0,1.0,
