trial,strategy,ops_retained,auto_coverage,info_retention,tau_causal,tau_contested,semantic_validity,gini,time_ms,repair_swaps
18,lww,1.0,1.0,1.0,0,0.0,1.0,0.0,0.02029999996011611,
18,vc,1.0,1.0,0.6333333333333333,0,11.0,1.0,0.7159090909090909,0.03279999964433955,
18,crdt_pure,1.0,1.0,1.0,0,0.0,1.0,0.0,0.015499999790336005,
18,crdt_lww,1.0,1.0,1.0,0,0.0,1.0,0.0,0.014799999917158857,
18,leader,0.5416666666666666,1.0,1.0,0,0.0,1.0,0.0,0.00869999985297909,
18,ranked_pairs,1.0,1.0,1.0,0,0.0,1.0,0.0,0.28959999963262817,
0,rp_unconstrained,1.0,1.0,1.0,0,0.0,1.0,0.0,0.0,3.0
19,lww,1.0,1.0,1.0,0,0.0,0.6666666666666666,0.0,0.019799999790848233,
19,vc,1.0,0.75,0.6764705882352942,0,11.0,0.5555555555555556,0.6704545454545454,0.04239999998389976,
19,crdt_pure,1.0,0.75,1.0,0,0.0,0.6666666666666666,0.0,0.025499999537714757,
19,crdt_lww,1.0,1.0,1.0,0,0.0,0.6666666666666666,0.0,0.01579999934619991,
19,leader,0.7083333333333334,1.0,1.0,0,0.0,0.5,0.0,0.009499999578110874,
19,ranked_pairs,1.0,1.0,1.0,0,0.0,0.6666666666666666,0.0,0.3349999997226405,
0,rp_unconstrained,1.0,1.0,1.0,0,0.0,0.6666666666666666,0.0,0.0,7.0
20,lww,1.0,1.0,0.9696969696969697,0,1.0,0.8333333333333334,0.875,0.028499999643827323,
20,vc,1.0,0.9166666666666666,0.6666666666666667,0,11.0,0.8333333333333334,0.32954545454545453,0.04929999977321131,
20,crdt_pure,1.0,0.9166666666666666,0.9696969696969697,0,1.0,0.8333333333333334,0.875,0.021100000594742596,
20,crdt_lww,1.0,1.0,0.9696969696969697,0,1.0,0.8333333333333334,0.875,0.012600000445672777,
20,leader,0.7083333333333334,1.0,0.9696969696969697,0,1.0,1.0,0.875,0.008299999535665847,
20,ranked_pairs,1.0,1.0,1.0,0,0.0,0.8333333333333334,0.0,0.2828999995472259,
0,rp_unconstrained,1.0,1.0,1.0,0,0.0,0.8333333333333334,0.0,0.0,6.0
21,lww,1.0,1.0,1.0,0,0.0,1.0,0.0,0.01720000000204891,
21,vc,1.0,0.875,0.8214285714285714,0,5.0,0.6666666666666666,0.875,0.050800000281014945,
21,crdt_pure,1.0,0.875,1.0,0,0.0,1.0,0.0,0.019400000383029692,
21,crdt_lww,1.0,1.0,1.0,0,0.0,1.0,0.0,0.014600000213249587,
21,leader,0.5833333333333334,1.0,1.0,0,0.0,1.0,0.0,0.008100000741251279,
21,ranked_pairs,1.0,1.0,1.0,0,0.0,1.0,0.0,0.26760000037029386,
0,rp_unconstrained,1.0,1.0,1.0,0,0.0,1.0,0.0,0.0,6.0
22,lww,1.0,1.0,1.0,0,0.0,0.8,0.0,0.01669999983278103,
22,vc,1.0,0.8333333333333334,0.7096774193548387,0,9.0,0.8,0.5972222222222222,0.0320999997711624,
22,crdt_pure,1.0,0.8333333333333334,1.0,0,0.0,0.8,0.0,0.017299999854003545,
22,crdt_lww,1.0,1.0,1.0,0,0.0,0.8,0.0,0.014999999621068127,
22,leader,0.625,1.0,1.0,0,0.0,1.0,0.0,0.008799999704933725,
22,ranked_pairs,1.0,1.0,1.0,0,0.0,0.8,0.0,0.4362999998193118,
0,rp_unconstrained,1.0,1.0,1.0,0,0.0,0.8,0.0,0.0,1.0
23,lww,1.0,1.0,0.9705882352941176,0,1.0,0.6666666666666666,0.875,0.020400000721565448,
23,vc,1.0,0.7916666666666666,0.6176470588235294,0,13.0,0.6666666666666666,0.6442307692307693,0.050099999498343095,
23,crdt_pure,1.0,0.7916666666666666,0.9705882352941176,0,1.0,0.6666666666666666,0.875,0.019999999494757503,
