minority_frac,trial,strategy,ops_retained,info_retention,tauhat
0.4,11,ranked_pairs,1.0,1.0,0.0
0.4,12,leader,0.20833333333333334,1.0,0.0
0.4,12,lww,1.0,0.9995471014492754,0.0004528985507246377
0.4,12,ranked_pairs,1.0,1.0,0.0
0.4,13,leader,0.20833333333333334,1.0,0.0
0.4,13,lww,1.0,1.0,0.0
0.4,13,ranked_pairs,1.0,1.0,0.0
0.4,14,leader,0.20833333333333334,1.0,0.0
0.4,14,lww,1.0,1.0,0.0
0.4,14,ranked_pairs,1.0,1.0,0.0
0.5,0,leader,0.16666666666666666,1.0,0.0
0.5,0,lww,1.0,1.0,0.0
0.5,0,ranked_pairs,1.0,1.0,0.0
0.5,1,leader,0.16666666666666666,1.0,0.0
0.5,1,lww,1.0,1.0,0.0
0.5,1,ranked_pairs,1.0,1.0,0.0
0.5,2,leader,0.16666666666666666,1.0,0.0
0.5,2,lww,1.0,1.0,0.0
0.5,2,ranked_pairs,1.0,1.0,0.0
0.5,3,leader,0.16666666666666666,1.0,0.0
0.5,3,lww,1.0,1.0,0.0
0.5,3,ranked_pairs,1.0,1.0,0.0
0.5,4,leader,0.16666666666666666,1.0,0.0
0.5,4,lww,1.0,1.0,0.0
0.5,4,ranked_pairs,1.0,1.0,0.0
0.5,5,leader,0.16666666666666666,1.0,0.0
0.5,5,lww,1.0,0.9995471014492754,0.0004528985507246377
0.5,5,ranked_pairs,1.0,1.0,0.0
0.5,6,leader,0.16666666666666666,1.0,0.0
0.5,6,lww,1.0,0.9995471014492754,0.0004528985507246377
0.5,6,ranked_pairs,1.0,1.0,0.0
0.5,7,leader,0.16666666666666666,1.0,0.0
0.5,7,lww,1.0,1.0,0.0
0.5,7,ranked_pairs,1.0,1.0,0.0
0.5,8,leader,0.16666666666666666,1.0,0.0
0.5,8,lww,1.0,1.0,0.0
0.5,8,ranked_pairs,1.0,1.0,0.0
0.5,9,leader,0.16666666666666666,1.0,0.0
0.5,9,lww,1.0,1.0,0.0
0.5,9,ranked_pairs,1.0,1.0,0.0
0.5,10,leader,0.16666666666666666,1.0,0.0
0.5,10,lww,1.0,1.0,0.0
0.5,10,ranked_pairs,1.0,1.0,0.0
0.5,11,leader,0.16666666666666666,1.0,0.0
0.5,11,lww,1.0,0.9995471014492754,0.0004528985507246377
0.5,11,ranked_pairs,1.0,1.0,0.0
0.5,12,leader,0.16666666666666666,1.0,0.0
0.5,12,lww,1.0,0.9995471014492754,0.0004528985507246377
0.5,12,ranked_pairs,1.0,1.0,0.0
0.5,13,leader,0.16666666666666666,1.0,0.0
0.5,13,lww,1.0,0.9995471014492754,0.0004528985507246377
0.5,13,ranked_pairs,1.0,1.0,0.0
0.5,14,leader,0.16666666666666666,1.0,0.0
0.5,14,lww,1.0,1.0,0.0
0.5,14,ranked_pairs,1.0,1.0,0.0
